# Data from Clarivate Analytics' Web of Science, retrieved 23 November 2018
# This file generated on 2018-11-23 15:30:02
item,AU,DE,SO,id,title,year
21,"Lenton, Timothy M.|Ciscar, Juan-Carlos",,CLIMATIC CHANGE,WOS:000316129000012,Integrating tipping points into climate impact assessments,2013
22,"Rentrop, P|Scherf, O|Simeon, B|Bungartz, HJ|Durst, F|Zenger, C",,HIGH PERFORMANCE SCIENTIFIC AND ENGINEERING COMPUTING,WOS:000086544800012,Mechanical multibody systems with deformable components,1999
23,"Cesini, D|Morelli, S|Parmiggiani, F",,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,WOS:000223410400015,Analysis of an intense bora event in the Adriatic area,2004
24,"Janssen, Judith A. E. B.|Krol, Maarten S.|Schielen, Ralph M. J.|Hoekstra, Arjen Y.",environmental modelling|uncertainty|multicriteria decision making|framing of information|strategic river management,ENVIRONMENTAL SCIENCE & POLICY,WOS:000278245400006,The effect of modelling expert knowledge and uncertainty on multicriteria decision making: a river management case study,2010
25,"Ciupak, Maurycy|Ozga-Zielinski, Bogdan|Adamowski, Jan|Quilty, John|Khalil, Bahaa",dynamic linear bayesian model|varying coefficient regression|discount weighted regression|hydrograph|forecasting|stream flow,JOURNAL OF HYDROLOGY,WOS:000365050600062,The application of Dynamic Linear Bayesian Models in hydrological forecasting: Varying Coefficient Regression and Discount Weighted Regression,2015
26,"Roeder, Norbert|Lederbogen, Dirk|Trautner, Juergen|Bergamini, Ariel|Stofer, Silvia|Scheidegger, Christoph",agriculture|cap|decoupling|biodiversity|ec habitats directive|agent-based modelling,ECOLOGICAL ECONOMICS,WOS:000283700900016,The impact of changing agricultural policies on jointly used rough pastures in the Bavarian Pre-Alps: An economic and ecological scenario approach,2010
27,"Turner, Graham M.|Hoffman, Robert|McInnis, Bertram C.|Poldy, Franzi|Foran, Barney",sustainability|stocks and flows|integrated assessment|physical economy|scenarios|tensions,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000291523900008,A tool for strategic biophysical assessment of a national economy The Australian stocks and flows framework,2011
28,"Brackins, John T.|Kalyanapu, Alfred J.|Pathak, CS|Reinhart, D",,"WORLD ENVIRONMENTAL AND WATER RESOURCES CONGRESS 2016: PROFESSIONAL DEVELOPMENT, INNOVATIVE TECHNOLOGY, INTERNATIONAL PERSPECTIVES, AND HISTORY AND HERITAGE",WOS:000400170800023,Using ADCIRC and HEC-FIA Modeling to Predict the Storm Surge Impact on Coastal Infrastructure,2016
29,"Dawson, CW|Abrahart, RJ|Shamseldin, AY|Wilby, RL",artificial neural networks|flood estimation|ungauged catchments,JOURNAL OF HYDROLOGY,WOS:000235670000026,Flood estimation at ungauged sites using artificial neural networks,2006
30,"van Oel, Pieter Richard|Odongo, Vincent Omondi|Mulatu, Dawit Woubishet|Muthoni, Francis Kamau|Ndungu, Jane Njeri|Ogada, Job Ochieng'|van der Veen, Anne",iwrm|integrated assessment|lake naivasha basin|kenya,INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,WOS:000340124400018,"Supporting IWRM through spatial integrated assessment in the Lake Naivasha basin, Kenya",2014
31,"Wu, H. Y.|Chen, K. L.|Chen, Z. H.|Chen, Q. H.|Qiu, Y. P.|Wu, J. C.|Zhang, J. F.",ecological quality status (ecoqs)|index system|fuzzy integrated assessment method (fiam)|analytic hierarchy process (ahp)|coastal water,MARINE POLLUTION BULLETIN,WOS:000301875600024,Evaluation for the ecological quality status of coastal waters in East China Sea using fuzzy integrated assessment method,2012
32,"Klein, Tommy|Holzkaemper, Annelie|Calanca, Pierluigi|Fuhrer, Juerg",multifunctional agriculture|climate change adaptation|cropsyst|trade-offs,REGIONAL ENVIRONMENTAL CHANGE,WOS:000333261900015,Adaptation options under climate change for multifunctional agriculture: a simulation study for western Switzerland,2014
33,"Belanche, LA|Valdes, JJ|Comas, J|Roda, IR|Poch, M",wastewater treatment plants|system identification|heterogeneous neural networks|environmental modeling,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000080156900009,Towards a model of input-output behaviour of wastewater treatment plants using soft computing techniques,1999
34,"Moxnes, Erling",discounting|climate|sustainability|welfare function|integrated assessment model|policy,ECOLOGICAL ECONOMICS,WOS:000336697600019,"Discounting, climate and sustainability",2014
35,"Walsh, Claire L.|Blenkinsop, Stephen|Fowler, Hayley J.|Burton, Aidan|Dawson, Richard J.|Glenis, Vassilis|Manning, Lucy J.|Jahanshahi, Golnaz|Kilsby, Chris G.",,HYDROLOGY AND EARTH SYSTEM SCIENCES,WOS:000377862900013,Adaptation of water resource systems to an uncertain future,2016
36,"Robson, Barbara J.|Mousques, Aurelie",scientometrics|informetrics|bibliometrics|citation count|equations,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000367105900008,Can we predict citation counts of environmental modelling papers? Fourteen bibliographic and categorical variables predict less than 30% of the variability in citation counts,2016
37,"Gerzabek, M. H.|Barcelo, D.|Bellin, A.|Rijnaarts, H. H. M.|Slob, A.|Darmendrail, D.|Fowler, H. J.|Negrel, Ph.|Frank, E.|Grathwohl, P.|Kuntz, D.|Barth, J. A. C.",eu integrated project|organic and inorganic pollution|soil|sediments|groundwater|surface water|climate change|land use change|river basin scale|management tools|transport-hydrological and climate modeling,JOURNAL OF ENVIRONMENTAL MANAGEMENT,WOS:000247297900012,The integrated project AquaTerra of the EU sixth framework lays foundations for better understanding of river-sediment-soil-groundwater systems,2007
38,"Chadalawada, Jayashree|Havlicek, Vojtech|Babovic, Vladan|Kim, JH|Kim, HS|Yoo, DG|Jung, D|Song, CG",genetic programming|multi-objective optimization|system identification|data driven modelling in hydrology|urban rainfall-runoff modelling,12TH INTERNATIONAL CONFERENCE ON HYDROINFORMATICS (HIC 2016) - SMART WATER FOR THE FUTURE,WOS:000385793200147,Genetic Programming based Approach towards Understanding the Dynamics of Urban Rainfall-Runoff Process,2016
39,"Zhang, Jie|Amini, Adib|O'Neal, Jeremy A.|Boyer, Treavor H.|Zhang, Qiong",water treatment|ion exchange|resin regeneration|process modeling,WATER RESEARCH,WOS:000362147400028,Development and validation of a novel modeling framework integrating ion exchange and resin regeneration for water treatment,2015
40,"Hauhs, M|Neal, C|Hooper, R|Christophersen, N",,SCIENCE OF THE TOTAL ENVIRONMENT,WOS:A1996UH96300001,Summary of a workshop on ecosystem modeling: The end of an era?,1996
41,"Rousseau, AN|Mailhot, A|Qullbe, R|Villeneuve, JP",decision support systems|hydrological modeling|hydroinformatics|information technologies|integrated watershed management|urban water|water quality,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000226399200006,Information technologies in a wider perspective: integrating management functions across the urban-rural interface,2005
