# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018,,,,,,,,,,,,,
# This file generated on 2018-11-22 14:30:09,,,,,,,,,,,,,,
item,id,year,title,AU,SO,DE,DOI,DOI link,Modeling,Version Control,Versioning,Testing,Publicly accessible code?,Publicly accessible data?
4332,WOS:000282768800022,2010,Flood analysis in mixed-urban areas reflecting interactions with the complete water cycle through coupled hydrologic-hydraulic modelling,"Domingo, N. D. Sto.|Refsgaard, A.|Mark, O.|Paludan, B.",WATER SCIENCE AND TECHNOLOGY,coupled 1d-2d model|hydrologic-hydraulic interaction|integrated modelling|urban flooding,10.2166/wst.2010.365,http://dx.doi.org/10.2166/wst.2010.365,,,,,,
3028,WOS:000280722700005,2010,Spatially distributed erosion and sediment yield modeling in the upper Indus River basin,"Ali, Khawaja Faran|De Boer, Dirk H.",WATER RESOURCES RESEARCH,,10.1029/2009WR008762,http://dx.doi.org/10.1029/2009WR008762,,,,,,
3024,WOS:000276691600001,2010,Sustainable Root Zone Salinity and Shallow Water Table in the Context of Land Retirement,"Singh, Purnendu N.|Wallender, Wesley W.|Maneta, Marco P.|Lee, Stephen L.|Olsen, Beatrice A.",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,,10.1061/(ASCE)IR.1943-4774.0000065,http://dx.doi.org/10.1061/(ASCE)IR.1943-4774.0000065,,,,,,
2364,WOS:000275704500003,2010,Adaptation in integrated assessment modeling: where do we stand?,"Patt, Anthony G.|van Vuuren, Detlef P.|Berkhout, Frans|Aaheim, Asbjorn|Hof, Andries F.|Isaac, Morna|Mechler, Reinhard",CLIMATIC CHANGE,,10.1007/s10584-009-9687-y,http://dx.doi.org/10.1007/s10584-009-9687-y,,,,,,
3337,WOS:000283967400002,2010,Biological reduction of chlorinated solvents: Batch-scale geochemical modeling,"Kouznetsova, Irina|Mao, Xiaomin|Robinson, Clare|Barry, D. A.|Gerhard, Jason I.|McCarty, Perry L.",ADVANCES IN WATER RESOURCES,modeling|groundwater|bioremediation|chlorinated ethenes|biogeochemical reactions|sensitivity analysis,10.1016/j.advwatres.2010.04.017,http://dx.doi.org/10.1016/j.advwatres.2010.04.017,,,,,,
3628,WOS:000277477100003,2010,Predicting the Magnitude and Spatial Distribution of Potentially Exposed Populations during IND or RDD Terrorism Incidents,"Regens, James L.|Gunter, James T.",HUMAN AND ECOLOGICAL RISK ASSESSMENT,nuclear terrorism|radiological terrorism|modeling|effects estimation|exposure estimation,10.1080/10807031003670105,http://dx.doi.org/10.1080/10807031003670105,,,,,,
4317,WOS:000282659200003,2010,Effect of data time interval on real-time flood forecasting,"Remesan, Renji|Ahmadi, Azadeh|Shamim, Muhammad Ali|Han, Dawei",JOURNAL OF HYDROINFORMATICS,artificial neural networks|data time interval|flood forecasting|gamma test|information entropy,10.2166/hydro.2010.063,http://dx.doi.org/10.2166/hydro.2010.063,,,,,,
1844,WOS:000281432500002,2010,Explicit simulations of stream networks to guide hydrological modelling in ungauged basins,"Stoll, S.|Weiler, M.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-14-1435-2010,http://dx.doi.org/10.5194/hess-14-1435-2010,,,,,,
1412,WOS:000278184600007,2010,Future high-mountain hydrology: a new parameterization of\ glacier retreat,"Huss, M.|Jouvet, G.|Farinotti, D.|Bauder, A.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-14-815-2010,http://dx.doi.org/10.5194/hess-14-815-2010,,,,,,
393,WOS:000274058900002,2010,"Earth's Critical Zone and hydropedology: concepts, characteristics, and advances","Lin, H.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-14-25-2010,http://dx.doi.org/10.5194/hess-14-25-2010,,,,,,
