# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018
# This file generated on 2018-11-23 17:10:07
item,AU,DE,DOI,SO,id,title,year,DOI link
848,"Arciniega-Esparza, Saul|Agustin Brena-Naranjo, Jose|Pedrozo-Acuna, Adrian|Mario Appendini, Christian",streamflow|recession|storage-discharge relationships|baseflow|toolbox,10.1016/j.cageo.2016.10.005,COMPUTERS & GEOSCIENCES,WOS:000389294300010,HYDRORECESSION: A Matlab toolbox for streamflow recession analysis,2017,https://dx.doi.org/10.1016/j.cageo.2016.10.005
856,"Saranjampour, Parichehr|Armbrust, Kevin L.|Marx, Brian D.",dibenzothiophenes|environmental modeling|fate and transport|hydroxyl radical|volatilization|polycyclic aromatic hydrocarbons,10.1002/etc.3745,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,WOS:000406398400007,ASSESSING THE HYDROXYL RADICAL AND VOLATILIZATION ROLES IN AQUATIC FATE ESTIMATIONS OF SULFUR HETEROCYCLES: DIBENZOTHIOPHENE DERIVATIVES,2017,https://dx.doi.org/10.1002/etc.3745
857,"Khan, Hassaan Furqan|Yang, Y. C. Ethan|Xie, Hua|Ringler, Claudia",,10.5194/hess-21-6275-2017,HYDROLOGY AND EARTH SYSTEM SCIENCES,WOS:000417851600001,A coupled modeling framework for sustainable watershed management in transboundary river basins,2017,https://dx.doi.org/10.5194/hess-21-6275-2017
858,"Cordioli, M.|Pironi, C.|De Munari, E.|Marmiroli, N.|Lauriola, P.|Ranzi, A.",land use regression model|exposure assessment|spatiotemporal model|gis|air pollution,10.1016/j.scitotenv.2016.09.089,SCIENCE OF THE TOTAL ENVIRONMENT,WOS:000389090100100,Combining land use regression models and fixed site monitoring to reconstruct spatiotemporal variability of NO2 concentrations over a wide geographical area,2017,https://dx.doi.org/10.1016/j.scitotenv.2016.09.089
860,"Zhao, Xiaomin|Lung, Wu-Seng",hormones|17 beta-estradiol|fate and transport|hspf modeling|basins,10.1016/j.chemosphere.2017.08.058,CHEMOSPHERE,WOS:000411846900092,Modeling the fate and transport of 17 beta-estradiol in the South River watershed in Virginia,2017,https://dx.doi.org/10.1016/j.chemosphere.2017.08.058
861,"Dang, Thai Son|Wessels, Nicola|Ngoc-Son Nguyen, |Hackl, Klaus|Meschke, Guenther",tunnel boring machine|cutting wheel|discrete element method|parameter identification|non-newtonian flow|finite element method,10.1615/IntJMultCompEng.2017020271,INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING,WOS:000407991300003,A COUPLED COMPUTATIONAL APPROACH FOR THE SIMULATION OF SOIL EXCAVATION AND TRANSPORT IN EARTH-PRESSURE BALANCE SHIELD MACHINES,2017,https://dx.doi.org/10.1615/IntJMultCompEng.2017020271
864,"Zhang, Ying|Hou, Jinhang|Cao, Yongpan|Gu, Juan|Huang, Chunlin",grid|parallel|swat|hydrological model|openmp,10.1016/j.cageo.2017.08.002,COMPUTERS & GEOSCIENCES,WOS:000415663200021,OpenMP parallelization of a gridded SWAT (SWATG),2017,https://dx.doi.org/10.1016/j.cageo.2017.08.002
865,"Toth, Brigitta|Weynants, Melanie|Pasztor, Laszlo|Hengl, Tomislav",3d european soil hydraulic maps|eu-soilhydrogrids|mualem-van genuchten parameters|multilayered gridded information|soil hydraulic conductivity|soil water retention,10.1002/hyp.11203,HYDROLOGICAL PROCESSES,WOS:000405521700013,3D soil hydraulic database of Europe at 250 m resolution,2017,https://dx.doi.org/10.1002/hyp.11203
866,"Nielsen, Anders|Bolding, Karsten|Hu, Fenjuan|Trolle, Dennis",aquatic ecosystem modelling|qgis plugin|fabm-pclake|gotm|swat,10.1016/j.envsoft.2017.06.032,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000406177500027,An open source QGIS-based workflow for model application and experimentation with aquatic ecosystems,2017,https://dx.doi.org/10.1016/j.envsoft.2017.06.032
868,"Ritschel, Christoph|Ulbrich, Uwe|Nevir, Peter|Rust, Henning W.",,10.5194/hess-21-6501-2017,HYDROLOGY AND EARTH SYSTEM SCIENCES,WOS:000418324300002,Precipitation extremes on multiple timescales - Bartlett-Lewis rectangular pulse model and intensity-duration-frequency curves,2017,https://dx.doi.org/10.5194/hess-21-6501-2017
871,"Swanson, Travis|Mohrig, David|Kocurek, Gary|Liang, Man",aeolian|dune|bedform|exploratory numerical model,10.1007/s11004-016-9654-x,MATHEMATICAL GEOSCIENCES,WOS:000403359900005,A Surface Model for Aeolian Dune Topography,2017,https://dx.doi.org/10.1007/s11004-016-9654-x
873,"Hong, Eun-Mi|Pachepsky, Yakov A.|Whelan, Gene|Nicholson, Thomas",complexity|environmental modeling|metamodeling|model simplification,10.1080/10643389.2017.1393264,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,WOS:000419156600001,Simpler models in environmental studies and predictions,2017,https://dx.doi.org/10.1080/10643389.2017.1393264
874,"Stern, David I.",integrated assessment models|business as usual|projections,10.1007/s10584-017-2003-3,CLIMATIC CHANGE,WOS:000407170600019,How accurate are energy intensity projections?,2017,https://dx.doi.org/10.1007/s10584-017-2003-3
875,"Klise, Katherine A.|Bynum, Michael|Moriarty, Dylan|Murray, Regan",water distribution system|earthquake|resilience|software,10.1016/j.envsoft.2017.06.022,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000406177500031,A software framework for assessing the resilience of drinking water systems to disasters with an example earthquake case study,2017,https://dx.doi.org/10.1016/j.envsoft.2017.06.022
