# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-04 16:02:46
item,AU,DE,SO,id,title,year
17,"Kotilainen, Aarno T.|Arppe, Laura|Dobosz, Slawomir|Jansen, Eystein|Kabel, Karoline|Karhu, Juha|Kotilainen, Mia M.|Kuijpers, Antoon|Lougheed, Bryan C.|Meier, H. E. Markus|Moros, Matthias|Neumann, Thomas|Porsche, Christian|Poulsen, Niels|Rasmussen, Peter|Ribeiro, Sofia|Risebrobakken, Bjorg|Ryabchuk, Daria|Schimanke, Semjon|Snowball, Ian|Spiridonov, Mikhail|Virtasalo, Joonas J.|Weckstrom, Kaarina|Witkowski, Andrzej|Zhamoida, Vladimir",baltic sea|climate change|holocene|inflow|multiproxy analyses|modeling,AMBIO,WOS:000329831800006,Echoes from the Past: A Healthy Baltic Sea Requires More Effort,2014
18,"Sahin, O.|Beal, C.|Khan, S.|Kersting, A.|Dewe, J.|Weber, T|McPhee, MJ|Anderssen, RS",water conservation|demand-based tariff modelling|integrated modelling|system dynamics modelling|stakeholder engagement,21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),WOS:000410535400214,A modelling framework for assessing water conservation potentials through demand-based tariff structures from societal and economic perspectives,2015
19,"Selim, Samiya A.|Blanchard, Julia L.|Bedford, Jacob|Webb, Thomas J.",marine ecosystem services|historical ecology|path analysis|fisheries|climate change,REGIONAL ENVIRONMENTAL CHANGE,WOS:000369005400007,Direct and indirect effects of climate and fishing on changes in coastal ecosystem services: a historical perspective from the North Sea,2016
20,"Lobanova, Anastasia|Liersch, Stefan|Tabara, J. David|Koch, Hagen|Hattermann, Fred F.|Krysanova, Valentina",hydrological modelling|reservoir management|tagus segura water transfer|human-hydrological systems|water resources allocation|climate change,JOURNAL OF HYDROLOGY,WOS:000403739000034,Harmonizing human-hydrological system under climate change: A scenario-based approach for the case of the headwaters of the Tagus River,2017
21,"Joung, Youn-Kyoung|Noh, Sang Do",ergonomics analysis|modeling and simulation|in-line motion capture|product lifecycle management,CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,WOS:000341093600004,Integrated modeling and simulation with in-line motion captures for automated ergonomic analysis in product lifecycle management,2014
22,"Chen, Pi-Cheng|Crawford-Brown, Douglas|Chang, Chi-Hui|Ma, Hwong-wen",substance flow analysis|environmental risk assessment|input-output analysis,ECOLOGICAL ECONOMICS,WOS:000345474800010,Identifying the drivers of environmental risk through a model integrating substance flow and input-output analysis,2014
23,"Wang, Yangyang|Atallah, Shady|Shao, Guofan",spatial analysis of ecosystem services|private forest conservation|ecosystem accounting|nutrient retention service|invest nutrient retention model|conservation return on investment,ECOSYSTEM SERVICES,WOS:000414208000006,"Spatially explicit return on investment to private forest conservation for water purification in Indiana, USA",2017
24,"Passarello, M. C.|Pierce, S. A.|Sharp, J. M.",decision support|groundwater availability|integrated assessment|sustainable yield|uncertainty|urban recharge,WATER SCIENCE AND TECHNOLOGY,WOS:000346388700020,Uncertainty and urban water recharge for managing groundwater availability using decision support,2014
25,"Will, Robert|Smith, Valerie|Lee, Don|Senel, Ozgur",microseismic|integration|modeling|prediction|simulation|geomechanicsa,INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,WOS:000387781500031,"Data integration, reservoir response, and application",2016
26,"Kim, Kyu Rang|Kim, Mijin|Choe, Ho-Seong|Han, Mae Ja|Lee, Hye-Rim|Oh, Jae-Won|Kim, Baek-Jo",pollen|allergy|concentration|risk warning|weibull pdf,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,WOS:000393669800006,A biology-driven receptor model for daily pollen allergy risk in Korea based on Weibull probability density function,2017
