# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-01 19:35:20
item,id,year,title,AU,SO,DE
20,WOS:000313593500009,2013,"Watershed modelling of hydrology and water quality in the Sacramento River watershed, California","Ficklin, Darren L.|Luo, Yuzhou|Zhang, Minghua",HYDROLOGICAL PROCESSES,california|swat|agricultural runoff|water quality|calibration|uncertainty
21,WOS:000271125800009,2009,Decomposition of the mean squared error and NSE performance criteria: Implications for improving hydrological modelling,"Gupta, Hoshin V.|Kling, Harald|Yilmaz, Koray K.|Martinez, Guillermo F.",JOURNAL OF HYDROLOGY,mean squared error|nash-sutcliffe efficiency|model performance evaluation|calibration|multiple criteria|criteria decomposition
22,WOS:000306828800005,2012,Integrated river flow modelling: A case study,"Lan-Anh, N. T.|Boxall, J.|Saul, A.|Willems, P.",URBAN WATER JOURNAL,holistic approach|integrated modelling|catchment modelling|uncertainty
23,WOS:000308122000006,2012,FEAST fundamental framework for electronic structure calculations: Reformulation and solution of the muffin-tin problem,"Levin, Alan R.|Zhang, Deyin|Polizzi, Eric",COMPUTER PHYSICS COMMUNICATIONS,feast|dft|electronic structure|muffin-tin|apw|lapw|pseudopotential|all-electron calculations
24,WOS:000347407200008,2015,Conclusions of the Worldwide Integrated Assessment on the risks of neonicotinoids and fipronil to biodiversity and ecosystem functioning,"van der Sluijs, J. P.|Amaral-Rogers, V.|Belzunces, L. P.|van Lexmond, M. F. I. J. Bijleveld|Bonmatin, J-M.|Chagnon, M.|Downs, C. A.|Furlan, L.|Gibbons, D. W.|Giorio, C.|Girolami, V.|Goulson, D.|Kreutzweiser, D. P.|Krupke, C.|Liess, M.|Long, E.|McField, M.|Mineau, P.|Mitchell, E. A. D.|Morrissey, C. A.|Noome, D. A.|Pisa, L.|Settele, J.|Simon-Delso, N.|Stark, J. D.|Tapparo, A.|Van Dyck, H.|Van Praagh, J.|Whitehorn, P. R.|Wiemers, M.",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,
25,WOS:000184831900013,2003,Development of multiple job execution and visualization system on ITBL system infrastructure software and its utilization for parametric studies in environmental modeling,"Suzuki, Y|Matsumoto, N|Yamagishi, N|Higuchi, K|Otani, T|Nagai, H|Terada, H|Furuno, A|Chino, M|Kobayashi, T|Sloot, PMA|Abramson, D|Bogdanov, AV|Dongarra, JJ|Zomaya, AY|Gorbachev, YE","COMPUTATIONAL SICENCE - ICCS 2003, PT III, PROCEEDINGS",
26,WOS:000412166800015,2015,U-model based Depth Control of Underwater Glider,"Abbasi, Isra|Ali, S. Saad Azhar|Ibrahim, Rosdiazli|Adil, Syed Hasan|Ovinis, Mark",2015 INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES (ICICT),u-model|intelligent control|imc|rbfnn|stabilization|underwater robotics
27,WOS:000343666000011,2014,"Mitigating the effects of high biomass algal blooms on the drinking water intakes of the city of Buenos Aires, Argentina","Silva, Cristina P.|Marti, Clelia L.|Imberger, Joerg",JOURNAL OF HYDRAULIC RESEARCH,mixing enhancement|real-time modelling|mitigating bloom effects|three-dimensional models|estuaries|hydraulic structure design and management|water quality
28,WOS:000232030000004,2005,The significance of European high mountain lakes in critical load distributions at the EMEP grid scale,"Curtis, CJ|Posch, M|Casals-Carrasco, P|Catalan, J|Hughes, M|Kernan, M|Ventura, M",AQUATIC SCIENCES,fab model|sulphur|nitrogen|emerge|emissions|clrtap|alpine lakes
29,WOS:000259555900015,2008,Proximity to forests drives bird conservation value of coffee plantations: Implications for certification,"Anand, Mandyam Osuri|Krishnaswamy, Jagdish|Das, Arundhati",ECOLOGICAL APPLICATIONS,"biodiversity certification schemes|birds|coffee plantation|grevillea robusta|incentive programs|restricted range|silver oak|western ghats, india"
30,WOS:000178428300005,2002,Multi-model data fusion for river flow forecasting: an evaluation of six alternative methods based on two contrasting catchments,"Abrahart, RJ|See, L",HYDROLOGY AND EARTH SYSTEM SCIENCES,data fusion|fuzzy logic|neural network|hydrological modelling
31,WOS:000339705900037,2014,Modelling the environmental transfer of phthalates and polychlorinated dibenzo-p-dioxins and dibenzofurans into agricultural products: The EN-forc model,"Fierens, T.|Cornelis, C.|Standaert, A.|Sioen, I.|De Henauw, S.|Van Holderbeke, M.",ENVIRONMENTAL RESEARCH,environmental transfer|agricultural products|phthalates|polychlorinated dibenzo-p-dioxins and dibenzofurans|multimedia model|en-forc
32,WOS:000182552500022,2002,A PC-based information system for the management and modelling of subsurface coal fires in mining areas (coalman),"Vekerdy, Z|Fabbri, AG|Gaal, G|McCammon, RB",DEPOSIT AND GEOENVIRONMENTAL MODELS FOR RESOURCE EXPLOITATION AND ENVIRONMENTAL SECURITY,
33,WOS:000388157700006,2016,"Modelling impacts of forest bioenergy use on ecosystem sustainability: Lammi LTER region, southern Finland","Forsius, Martin|Akujarvi, Anu|Mattsson, Tuija|Holmberg, Maria|Punttila, Pekka|Posch, Maximilian|Liski, Jari|Repo, Anna|Virkkala, Raimo|Vihervaara, Petteri",ECOLOGICAL INDICATORS,bioenergy|sustainability|indicators|ecosystem impacts|modelling|carbon|nitrogen|biodiversity
34,WOS:000179612900002,2003,Climate policy in light of climate science: The ICLIPS project,"Toth, FL",CLIMATIC CHANGE,
35,WOS:000400790500005,2017,Modelling individual response time effects between and within experimental speed conditions: A GLMM approach for speeded tests,"Goldhammer, Frank|Steinwascher, Merle A.|Kroehne, Ulf|Naumann, Johannes",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,conditional accuracy function|generalized linear mixed modelling|random response time effects|speed-accuracy trade-off function
36,WOS:000343761500008,2013,Modeling Pollutant Routing in Runoff in Agricultural Watersheds: a Mixed Approach,"Jose Polo, Maria|Gomez-Beas, Raquel|Contreras, Eva|Aguilar, Cristina|Herrero, Javier|Millares, Agustin|Losada, Miguel A.|Gomez-Beas, Raquel|Zhaoyin, W|Lee, JHW|Jizhang, G|Shuyou, C","PROCEEDINGS OF THE 35TH IAHR WORLD CONGRESS, VOLS I AND II",pollutant routing|herbicide in runoff|gis model|watershed modeling|surface water quality
37,WOS:000277833800005,2010,Quasi 3-D Refined Flow and Contaminant Transport Software and its Application in River Water Mixing in the Amazon River,"Yu, Liren|Yu, Jun|Shang, HQ|Luo, XX","PROCEEDINGS OF THE 4TH INTERNATIONAL YELLOW RIVER FORUM ON ECOLOGICAL CIVILIZATION AND RIVER ETHICS, VOL II",quasi 3-d|flow|pollutants|transport|software|amazon|simulation
38,WOS:000430386500004,2015,"Evaluating the impacts of climate change and crop land use change on streamflow, nitrates and phosphorus: A modeling study in Bavaria","Mehdi, B.|Ludwig, R.|Lehner, B.",JOURNAL OF HYDROLOGY-REGIONAL STUDIES,hydrological modeling|swat|water quality|crop land use change|agriculture|climate change
39,WOS:000185582600087,2003,Application framework development for virtual learning environments,"Dragomiroiu, M|Ventuneac, M|Salomie, |Coffey, T",ITI 2003: PROCEEDINGS OF THE 25TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY INTERFACES,software engineering|framework|composition|multi-tiers architecture|virtual learning environment
40,WOS:000221209100020,2004,Simplifying dynamic river water quality modelling: A case study of inorganic nitrogen dynamics in the Crocodile River (South Africa),"Deksissa, T|Meirlaen, J|Ashton, PJ|Vanrolleghem, PA",WATER AIR AND SOIL POLLUTION,ammonia|dynamic modelling|nitrate|river water quality|rwqm|sensitivity analysis
41,WOS:000178839400124,2002,Discontinuous Galerkin methods for mass conservation equations for environmental modeling,"Guillot, MJ|Riviere, B|Wheeler, MF|Hassanizadeh, SM|Schotting, RJ|Gray, WG|Pinder, GF","COMPUTATIONAL METHODS IN WATER RESOURCES, VOLS 1 AND 2, PROCEEDINGS",
42,WOS:000234918700033,2005,A software tool to aid budget planning for long-term care at local authority level,"Xie, HF|Chaussalet, T|Toffa, S|Crowther, P|Bos, L|Marsh, A",MEDICAL AND CARE COMPUNETICS 2,long-term care|budget planning|survival analysis|length of stay analysis|user interface|forecasting|cost
43,WOS:000391817900012,2016,Using Lidar Elevation Data to Develop a Topobathymetric Digital Elevation Model for Sub-Grid Inundation Modeling at Langley Research Center,"Loftis, Jon Derek|Wang, Harry V.|DeYoung, Russell J.|Ball, William B.",JOURNAL OF COASTAL RESEARCH,flood modeling|storm surge|sea-level rise|hurricane irene|hurricane isabel|tidewater|virginia
44,WOS:000384773400004,2016,Vegetation response to rainfall seasonality and interannual variability in tropical dry forests,"Souza, Rodolfo|Feng, Xue|Antonino, Antonio|Montenegro, Suzana|Souza, Eduardo|Porporato, Amilcare",HYDROLOGICAL PROCESSES,ecosystem modelling|soil moisture|ndvi|semi-arid region|water balance
