# Data from Clarivate Analytics' Web of Science, retrieved 24 February 2018
# This file generated on 2019-02-24 17:43:18
item,id,year,title,AU,SO,DE
20,WOS:000313354200012,2013,"Optimization of Well Field Operation: Case Study of Sonderso Waterworks, Denmark","Hansen, Annette K.|Madsen, Henrik|Bauer-Gottwein, Peter|Rosbjerg, Dan|Falk, Anne Katrine V.",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,groundwater management|multiobjective|optimization|genetic algorithms|well fields
21,WOS:000289810000002,2011,Examining the Effects of Traders' Overconfidence on Market Behavior,"Yeh, Chia-Hsuan|Yang, Chun-Yi|Chen, SH|Terano, T|Yamamoto, R",AGENT-BASED APPROACHES IN ECONOMIC AND SOCIAL COMPLEX SYSTEMS VI,rationality|behavioral finance|overconfidence|artificial stock market|agent-based modeling|genetic programming
22,WOS:000334436600006,2014,A Review of Telehealth Service Implementation Frameworks,"van Dyk, Liezl",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,telehealth|telemedicine|implementation|framework|model
23,WOS:000083229500003,1999,Integrated assessment: rhetoric of models and perceptions of world futures,"Matarasso, P",INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,anticipations|climate change|global change|integrated assessment|integrated models|optimization|simulation
24,WOS:000260457000186,2008,"Incorporating RS/GIS in MIKE SHE model, to predict stream flow in Kaidu River Basin","Yue, Huang|Xi, Chen","ITESS: 2008 PROCEEDINGS OF INFORMATION TECHNOLOGY AND ENVIRONMENTAL SYSTEM SCIENCES, PT 1",mike she model|remote sensing|gis|tarim basin
25,WOS:000252946500004,2008,Integrated biophysical and economic modelling framework to assess impacts of alternative groundwater management options,"Qureshi, M. E.|Qureshi, S. E.|Bajracharya, K.|Kirby, M.",WATER RESOURCES MANAGEMENT,groundwater|hydrologic|agronomic|economic|simulation|mathematical modelling|optimisation
26,WOS:000186578600294,2003,A generic framework for environmental modeling and simulation,"Bernardi, F|Filippi, JB|Santucci, JF","2003 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS, VOLS 1-5, CONFERENCE PROCEEDINGS",discrete event simulation|natural systems modeling|modeling and simulation environment|models library|interoperability|reusability
27,WOS:000177183000039,2002,Impact of long-term land use change on the hydrological regime of the Dyle catchment,"El Idrissi, A|Ruthy, |Hang, P|Vanclooster, M|Persoons, E|Steenvoorden, J|Claessen, F|Willems, J",AGRICULTURAL EFFECTS ON GROUND AND SURFACE WATERS: RESEARCH AT THE EDGE OF SCIENCE AND SOCIETY,catchment-scale assessments|distributed hydrological modelling|dyle catchment|belgium|european common agricultural policy|land use change
28,WOS:000231643300007,2005,Remote sensing of glacier- and permafrost-related hazards in high mountains: an overview,"Kaab, A|Huggel, C|Fischer, L|Guex, S|Paul, F|Roer, |Salzmann, N|Schlaefli, S|Schmutz, K|Schneider, D|Strozzi, T|Weidmann, Y",NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,
29,WOS:000444918100034,2018,Co-benefits of climate mitigation on air quality and human health in Asian countries,"Xie, Yang|Dai, Hancheng|Xu, Xinghan|Fujimori, Shinichiro|Hasegawa, Tomoko|Yi, Kan|Masui, Toshihiko|Kurata, Gakuji",ENVIRONMENT INTERNATIONAL,air quality|health co-benefit|climate mitigation|economic impact|cge
