# Data from Clarivate Analytics' Web of Science, retrieved 24 February 2018
# This file generated on 2019-02-24 17:43:18
item,id,year,title,AU,SO,DE
598,WOS:000082155700003,1999,A legislative view on science and predictive models,"Luiten, H",ENVIRONMENTAL POLLUTION,integrated assessment|policy analysis|modelling|environment
599,WOS:000347274100008,2014,Towards the development of integrated modelling systems in aquatic biogeochemistry: a Bayesian approach,"Kim, Dong-Kyun|Zhang, Weitao|Hiriart-Baer, Veronique|Wellen, Christopher|Long, Tanya|Boyd, Duncan|Arhonditsis, George B.",JOURNAL OF GREAT LAKES RESEARCH,process-based modelling|eutrophication|bayesian inference|retrospective analysis|water quality criteria|decision making
600,WOS:A1995UD33500083,1995,"An integrated analysis of sulfur emissions, acid deposition and climate change","Alcamo, J|Krol, M|Posch, M",WATER AIR AND SOIL POLLUTION,acidification|air pollution impacts|climate change|global change|integrated modeling|sulfur deposition
601,WOS:000326691100017,2013,Actionable Knowledge for Environmental Decision Making: Broadening the Usability of Climate Science,"Kirchhoff, Christine J.|Lemos, Maria Carmen|Dessai, Suraje|Gadgil, A|Liverman, DM","ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES, VOL 38",science-policy model|information usability|risa|uk climate program
602,WOS:000455326700008,2016,Density-dependent mortality in Taiwania cryptomerioides and Chamaecyparis formosensis stands in Taiwan,"Chiu, Chih-Ming|Chien, Ching-Te|Nigh, Gordon",COGENT ENVIRONMENTAL SCIENCE,boundary line|conservation|finite mixture models|frontier line|negative binomial|self-thinning|threatened|vulnerable|zero-inflated
603,WOS:000327754700007,2013,A generalized multistage optimization modeling framework for life cycle assessment-based integrated solid waste management,"Levis, James W.|Barlaz, Morton A.|DeCarolis, Joseph F.|Ranjithan, S. Ranji",ENVIRONMENTAL MODELLING & SOFTWARE,solid waste|optimization|multi-stage|life cycle assessment|decision support
604,WOS:000347495100065,2015,Integrated assessment of ecological status and misclassification of lakes: The role of uncertainty and index combination rules,"Moe, S. Jannicke|Solheim, Anne Lyche|Soszka, Hanna|Golub, Malgorzata|Hutorowicz, Andrzej|Kolada, Agnieszka|Picinska-Faltynowicz, Joanna|Bialokoz, Witold",ECOLOGICAL INDICATORS,biological quality element|integrated lake assessment|modelling|uncertainty|water framework directive|waterbody classification
605,WOS:000276755000002,2010,Simulation of urban wastewater systems using artificial neural networks: embedding urban areas in integrated catchment modelling,"Fu, Guangtao|Makropoulos, Christos|Butler, David",JOURNAL OF HYDROINFORMATICS,artificial neural network|catchment scale model|integrated catchment management|integrated modelling|urban wastewater system|water quality modelling
606,WOS:000303679400011,2012,An evaluation of alternative household solid waste treatment practices using life cycle inventory assessment mode,"Nguyen Phuc Thanh, |Matsui, Yasuhiro",ENVIRONMENTAL MONITORING AND ASSESSMENT,greenhouse gas(ghg) emission|scenario analysis|household solid waste|life cycle inventory assessment (lcia)|waste treatment practice
607,WOS:000277802100022,2010,On the value of glacier mass balances for hydrological model calibration,"Konz, Markus|Seibert, Jan",JOURNAL OF HYDROLOGY,model calibration|glacier mass balances|monte carlo simulations|hbv model
608,WOS:000326900300023,2013,Water balance in afforestation chronosequences of common oak and Norway spruce on former arable soils in Denmark as evaluated using the DAISY model,"Salazar, O.|Hansen, S.|Abrahamsen, P.|Hansen, K.|Gundersen, P.|Romano, N|DUrso, G|Severino, G|Chirico, GB|Palladino, M",FOUR DECADES OF PROGRESS IN MONITORING AND MODELING OF PROCESSES IN THE SOIL-PLANT-ATMOSPHERE SYSTEM: APPLICATIONS AND CHALLENGES,afforestation|hydrological modelling|sensitivity analysis|uncertainty estimation
609,WOS:000457283800023,2016,Improving carbon monitoring and reporting in forests using spatially-explicit information,"Boisvenue, Celine|Smiley, Byron P.|White, Joanne C.|Kurz, Werner A.|Wulder, Michael A.",CARBON BALANCE AND MANAGEMENT,forest|emissions reporting|carbon|greenhouse gas|landsat|cbm-cfs3|terrestrial ecosystem modelling
610,WOS:000273550300004,2010,Principles of Constraint-Consistent Activity-Based Transport Modeling,"Heinitz, Florian M.|Liedtke, Gernot T.",COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,
611,WOS:000269818800002,2009,Modelling near-surface temperature conditions in high mountain environments: an appraisal,"Pape, Roland|Wundram, Dirk|Loeffler, Joerg",CLIMATE RESEARCH,surface energy balance model|spatial interpolation|ecologically relevant temperatures|scaling|scandes
612,WOS:000179612900010,2003,Modeling agriculture and land use in an integrated assessment framework,"Sands, RD|Leimbach, M",CLIMATIC CHANGE,
613,WOS:000448092500089,2018,Hierarchical modelling framework for machine tool energy optimization,"Wojcicki, Jeremi|Bianchi, Giacomo|Tolio, Tullio",JOURNAL OF CLEANER PRODUCTION,machine tool|sustainable manufacturing|energy efficiency|multi-objective optimization
614,WOS:000347921100034,2014,Wavelet-based multiscale performance analysis: An approach to assess and improve hydrological models,"Rathinasamy, Maheswaran|Khosa, Rakesh|Adamowski, Jan|Ch, Sudheer|Partheepan, G.|Anand, Jatin|Narsimlu, Boini",WATER RESOURCES RESEARCH,
615,WOS:A1995QM04400015,1995,EVALUATION OF SURFACE SOIL-MOISTURE DISTRIBUTION BY MEANS OF SAR REMOTE-SENSING TECHNIQUES AND CONCEPTUAL HYDROLOGICAL MODELING,"GIACOMELLI, A|BACCHIEGA, U|TROCH, PA|MANCINI, M",JOURNAL OF HYDROLOGY,
616,WOS:000295067500009,2011,Assessing impacts of Landuse and Landcover changes on hydrology for the upper San Pedro watershed,"Nie, Wenming|Yuan, Yongping|Kepner, William|Nash, Maliha S.|Jackson, Michael|Erickson, Caroline",JOURNAL OF HYDROLOGY,landuse and landcover|swat|multiple regression analysis|urbanization|mesquite|san pedro river
617,WOS:000326203400045,2013,"Participatory modelling to support decision making in water management under uncertainty: Two comparative case studies in the Guadiana river basin, Spain","Carmona, Gema|Varela-Ortega, Consuelo|Bromley, John",JOURNAL OF ENVIRONMENTAL MANAGEMENT,participatory modelling|bayesian networks|water management|iwrm
618,WOS:000336400400014,2014,Scrutinising MODIS and GIMMS Vegetation Indices for Extracting Growth Rhythm of Natural Vegetation in India,"Jeganathan, C.|Nishant, Nilay",JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,time-series data|phenology|ndvi|evi|gimms|modis|comparison|india
619,WOS:000231587100001,2005,Understanding changes in annual runoff following land use changes: a systematic data-based approach,"Bari, MA|Smettem, KRJ|Sivapalan, M",HYDROLOGICAL PROCESSES,evapotranspiration|annual water balance|clearing|groundwater discharge area|a priori parameter estimation
620,WOS:000451208400010,2018,"Modelling Groundwater Flow with MIKE SHE Using Conventional Climate Data and Satellite Data as Model Forcing in Haihe Plain, China","Shu, Yunqiao|Li, Hongjun|Lei, Yuping",WATER,distributed hydrological model|remote sensing|evapotranspiration|groundwater|spatial pattern
621,WOS:000304411800012,2012,A Modelling Solution for Developing and Evaluating Agricultural Land-Use Scenarios in Water Scarcity Contexts,"Clavel, Lucie|Charron, Marie-Helene|Therond, Olivier|Leenhardt, Delphine",WATER RESOURCES MANAGEMENT,scenario|cropping systems|spatial distribution|water planning|land planning|indicators
622,WOS:000296220200011,2011,Pragmatic estimation of a spatio-temporal air quality model with irregular monitoring data,"Sampson, Paul D.|Szpiro, Adam A.|Sheppard, Lianne|Lindstrom, Johan|Kaufman, Joel D.",ATMOSPHERIC ENVIRONMENT,exposure estimation|hierarchical model|nonstationary spatial covariance|partial least squares|particulate matter|universal kriging
623,WOS:000287596600004,2011,Dangerous levels of climate change for agricultural production in China,"Tao, Fulu|Zhang, Zhao|Yokozawa, Masayuki",REGIONAL ENVIRONMENTAL CHANGE,agricultural production|climate change|drought and flooding|food security|water resources
624,WOS:000409481500006,2017,Complex terrain influences ecosystem carbon responses to temperature and precipitation,"Reyes, W. M.|Epstein, H. E.|Li, X.|McGlynn, B. L.|Riveros-Iregui, D. A.|Emanuel, R. E.",GLOBAL BIOGEOCHEMICAL CYCLES,
625,WOS:000298270300016,2011,A conceptual framework for incorporating surface-groundwater interactions into a river operation-planning model,"Rassam, David W.",ENVIRONMENTAL MODELLING & SOFTWARE,groundwater-surface water interaction|river operation-planning model|river low flow|groundwater extraction|river depletion|analytical solutions|river-aquifer exchange flux|conjunctive management
626,WOS:000346705000006,2015,Snow cover and runoff modelling in a high mountain catchment with scarce data: effects of temperature and precipitation parameters,"Zhang, Fan|Zhang, Hongbo|Hagen, Scott C.|Ye, Ming|Wang, Dingbao|Gui, Dongwei|Zeng, Chen|Tian, Lide|Liu, Jingshi",HYDROLOGICAL PROCESSES,high mountain hydrology|sparsely gauged catchment|critical snow fall temperature|temperature lapse rate|precipitation gradient
627,WOS:000323688800015,2013,Partial least-squares regression for linking land-cover patterns to soil erosion and sediment yield in watersheds,"Shi, Z. H.|Ai, L.|Li, X.|Huang, X. D.|Wu, G. L.|Liao, W.",JOURNAL OF HYDROLOGY,landscape metrics|co-dependent data|soil erosion|sediment yield|sediment delivery ratio
628,WOS:000426775500016,2018,"Cross-Analysis of Land and Runoff Variations in Response to Urbanization on Basin, Watershed, and City Scales with/without Green Infrastructures","Fu, Jin-Cheng|Jang, Jiun-Huei|Huang, Chun-Mao|Lin, Wen-Yen|Yeh, Chia-Cheng",WATER,urbanization|land-cover|land-use|surface runoff|low impact development|sponge city
629,WOS:000445164000146,2018,A novel index for assessment of riparian strip efficiency in agricultural landscapes using high spatial resolution satellite imagery,"Novoa, Julio|Chokmani, Karem|Lhissou, Rachid",SCIENCE OF THE TOTAL ENVIRONMENT,riparian buffers|ecological efficiency|ecosystem services|drainage|remote sensing
630,WOS:000220348500002,2004,"An overview of model integration for environmental application - components, frameworks and semantics","Argent, RM",ENVIRONMENTAL MODELLING & SOFTWARE,model integration|component-based modelling|modelling frameworks
631,WOS:000319282100036,2013,Estimating epistemic and aleatory uncertainties during hydrologic modeling: An information theoretic approach,"Gong, Wei|Gupta, Hoshin V.|Yang, Dawen|Sricharan, Kumar|Hero, Alfred O.",WATER RESOURCES RESEARCH,information theory|model structure adequacy|uncertainty analysis|entropy|mutual information
632,WOS:000315974500012,2013,"eHabitat, a multi-purpose Web Processing Service for ecological modeling","Dubois, G.|Schulz, M.|Skoien, J.|Bastin, L.|Peedell, S.",ENVIRONMENTAL MODELLING & SOFTWARE,ecological modeling|multi-disciplinary interoperability|soa|web processing services|model web|ehabitat
633,WOS:000395112000001,2017,Review article: Hydrological modeling in glacierized catchments of central Asia - status and challenges,"Chen, Yaning|Li, Weihong|Fang, Gonghuan|Li, Zhi",HYDROLOGY AND EARTH SYSTEM SCIENCES,
634,WOS:000324292300022,2013,Performance of complex snow cover descriptions in a distributed hydrological model system: A case study for the high Alpine terrain of the Berchtesgaden Alps,"Warscher, M.|Strasser, U.|Kraller, G.|Marke, T.|Franz, H.|Kunstmann, H.",WATER RESOURCES RESEARCH,snow distribution|snowmelt dynamics|runoff generation|lateral snow transport|hydrological modeling|alpine catchment
635,WOS:000303145800030,2012,"An integrated modeling approach to evaluate the performance of an oxygen enhancement device in the Hwajiang wetland, Taiwan","Cheng, Su-Ting|Hwang, Gwo-Wen|Chen, Chang-Po|Hou, Wen-Shang|Hsieh, Hwey-Lian",ECOLOGICAL ENGINEERING,hypoxia/anoxia|integrated modeling approach|dissolved oxygen model|hydraulic model|river restoration|hwajiang wetland
636,WOS:000370865300006,2016,Strategic optimisation of biomass-based energy supply chains for sustainable mobility,"d'Amore, Federico|Bezzo, Fabrizio",COMPUTERS & CHEMICAL ENGINEERING,alternative fuel vehicle|bioethanol and bioelectricity supply chain|first and second generation|indirect land use change|multi-objective optimisation
637,WOS:000079445500013,1999,Urban drainage and environmental modelling: A synthesis of the environment actor's preoccupations,"Phan, L|Brignon, JM",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,
638,WOS:000284228700001,2010,Is point uncertain rainfall likely to have a great impact on distributed complex hydrological modeling?,"Balin, Daniela|Lee, Hyosang|Rode, Michael",WATER RESOURCES RESEARCH,
639,WOS:000343061200006,2014,Water resources and climate change impact modelling on a daily time scale in the Peruvian Andes,"Andres, Norina|Vegas Galdos, Fernando|Lavado Casimiro, Waldo Sven|Zappa, Massimiliano",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,trmm|era-interim|tmpa|hydrological modelling|taylor diagram|peru|quantile mapping|climate change anomalies
640,WOS:000435610700006,2017,"Impact analysis of satellite rainfall products on flow simulations in the Magdalena River Basin, Colombia","Elgamal, Amr|Reggiani, Paolo|Jonoski, Andreja",JOURNAL OF HYDROLOGY-REGIONAL STUDIES,keywords: satellite precipitation estimates|flow simulations|hydrological modeling|representative elementary watershed (rew) approach|orographic effects
641,WOS:000339098700013,2014,Impact of soil surface characteristics on soil water content variability in agricultural fields,"Manns, Hida R.|Berg, Aaron A.|Bullock, Paul R.|McNairn, Heather",HYDROLOGICAL PROCESSES,soil water content variability|surface residue|soil texture|surface roughness|remote sensing
642,WOS:000428630200002,2018,"Three-dimensional oil dispersion model in the Campos Basin, Brazil","Almeida de Oliveira, Bernardo Lopes|Netto, Theodoro Antoun|de Freitas Assad, Luiz Paulo",ENVIRONMENTAL TECHNOLOGY,environmental modeling|oil spill|weathering processes|three-dimensional dispersion
643,WOS:000270208400003,2009,Monitoring in adaptive co-management: Toward a learning based approach,"Cundill, Georgina|Fabricius, Christo",JOURNAL OF ENVIRONMENTAL MANAGEMENT,adaptive co-management|collaborative monitoring|social learning|complexity
644,WOS:000303956700022,2012,"Energy consumption, carbon emissions and economic growth nexus in Bangladesh: Cointegration and dynamic causality analysis","Alam, Mohammad Jahangir|Begum, Ismat Ara|Buysse, Jeroen|Van Huylenbroeck, Guido",ENERGY POLICY,energy consumption|economic growth|bangladesh
645,WOS:000346215100027,2014,"Definition of radon prone areas in Friuli Venezia Giulia region, Italy, using geostatistical tools","Cafaro, C.|Bossew, P.|Giovani, C.|Garavaglia, M.",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,geostatistics|indoor radon|radon prone areas|friuli venezia giulia region|ecological modelling
646,WOS:000178340600002,2002,Integrated assessment model of climate change - The aim approach,"Matsuoka, Y|Sano, A|Nishioka, S|Tamura, H",MODELING AND CONTROL IN ENVIRONMENTAL ISSUES 2001,integrated assessment model|environmental modeling|climate change|global warming|energy model|impact model
647,WOS:000272819300030,2009,A decision support system for sustainable groundwater management. Case study: Gnangara sustainability strategy - Western Australia,"Elmahdi, A.|McFarlane, D.|Brebbia, CA|Popov, ",WATER RESOURCES MANAGEMENT V,dss|groundwater|sustainable management|scenario analysis|integrated modelling
648,WOS:000282291900035,2009,Handling and linking data and hydrological models - experiences from the Danish national water resources model (DK-model),"Hojberg, A. L.|Troldborg, L.|Nyegaard, P.|Ondracek, M.|Stisen, S.|Wang, YX",CALIBRATION AND RELIABILITY IN GROUNDWATER MODELING: MANAGING GROUNDWATER AND THE ENVIRONMENT,
649,WOS:000242452600007,2007,Incorporating stress in electric power systems reliability models,"Zerriffi, Hisham|Dowlatabadi, Hadi|Farrell, Alex",ENERGY POLICY,reliability|distributed generation|natural gas
650,WOS:000397356000004,2017,Evaluating business models for microgrids: Interactions of technology and policy,"Hanna, Ryan|Ghonima, Mohamed|Kleissl, Jan|Tynan, George|Victor, David G.",ENERGY POLICY,decarbonization|decentralization|distributed energy resource|modeling|natural gas|renewable energy
651,WOS:000348519300009,2014,A framework to resolve spatio-temporal misalignment in component-based modelling,"Schmitz, Oliver|Salvadore, Elga|Poelmans, Lien|van der Kwast, Johannes|Karssenberg, Derek",JOURNAL OF HYDROINFORMATICS,hydrology|integrated modelling|interdisciplinary modelling|land use change|python|spatio-temporal scaling
652,WOS:000412251300061,2017,Riparian erosion vulnerability model based on environmental features,"Botero-Acosta, Alejandra|Chu, Maria L.|Guzman, Jorge A.|Starks, Patrick J.|Moriasi, Daniel N.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,riparian erosion|vulnerability maps|habitat suitability model|watershed modeling|mike she|maxent
653,WOS:A1997XW05300003,1997,Hydrological runoff modelling by the use of remote sensing data with reference to the 1993-1994 and 1995 floods in the River Rhine catchment,"Portmann, FT",HYDROLOGICAL PROCESSES,hydrological modelling|flood monitoring|remote sensing|digital terrain models|c-band sar|soil moisture|river rhine
654,WOS:000357105902143,2013,Evaluating watershed development impacts on physical capital using household surveys and Bayesian networks,"Patch, B.|Merritt, W.|Reddy, R.|Rout, S.|Piantadosi, J|Anderssen, RS|Boland, J",20TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2013),watershed development (wsd)|resilience|bayesian networks (bns)|household surveys
655,WOS:000389785300005,2017,An overview of the model integration process: From pre-integration assessment to testing,"Belete, Getachew F.|Voinov, Alexey|Laniak, Gerard F.",ENVIRONMENTAL MODELLING & SOFTWARE,integrated modeling|interoperability|interfaces|wrapping|components|web services
656,WOS:000232757100013,2005,"Discussion of ""Simple snowdrift model for distributed hydrological modeling"" by M. Todd Walter, Donald K. McCool, Larry G. King, Myron Molnau, and Gaylon S. Campbell","Fassnacht, |Brazenec, WA",JOURNAL OF HYDROLOGIC ENGINEERING,
657,WOS:000357105900132,2013,Approaches to distributed execution of hydrologic models: methods for ensemble Monte Carlo risk modelling with and without workflows,"Pickett, Trevor|Smith, Tim|Bulluss, Ben|Penton, Dave|Peeters, Luk|Podger, Geoff|Cuddy, Susan|Piantadosi, J|Anderssen, RS|Boland, J",20TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2013),sensitivity analysis|multi-core execution|river system model
658,WOS:000343761506024,2013,A Coupled Hydrological and Hydraulic Modeling System for Urban Flood Simulations,"Zhang, Hongbin|Liang, Qiuhua|Smith, Luke|Kilsby, Chris|Zhaoyin, W|Lee, JHW|Jizhang, G|Shuyou, C","PROCEEDINGS OF THE 35TH IAHR WORLD CONGRESS, VOLS I AND II",hydrological model|hydraulic model|integrated modeling system|flood simulation|urban catchment
659,WOS:000280636900015,2010,Conservation problems with hypothelminorheic Niphargus species (Amphipoda: Niphargidae),"Fiser, Cene|Konec, Marjeta|Kobe, Zala|Osanic, Miha|Gruden, Pina|Potocnik, Hubert",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,niphargus|groundwater protection|hypothelminorheic|ecological modelling
660,WOS:000302476200026,2012,Understanding Differences in the Body Burden-Age Relationships of Bioaccumulating Contaminants Based on Population Cross Sections versus Individuals,"Quinn, Cristina L.|Wania, Frank",ENVIRONMENTAL HEALTH PERSPECTIVES,biomonitoring|cross-sectional trends|environmental modeling|human bioaccumulation|longitudinal trends|time-variant exposure
661,WOS:000170886000001,2001,Integrated modelling of eutrophication and organic contaminant fate & effects in aquatic ecosystems. A review,"Koelmans, AA|Van der Heijde, A|Knijff, LM|Aalderink, RH",WATER RESEARCH,eutrophication|contaminant fate|modelling|organic micropollutants|ecological effects
662,WOS:000426183000002,2017,"SWAT modeling of hydrology, sediment and nutrients from the Grand River, Ontario","Hanief, Aslam|Laursen, Andrew E.",WATER QUALITY RESEARCH JOURNAL OF CANADA,hydrological modeling|model parametrization|calibration|validation and uncertainty analysis|soil and water assessment tool|stream flow and nutrient prediction|watershed processes
663,WOS:000394918000007,2017,Quantifying the role of permafrost distribution in groundwater and surface water interactions using a three-dimensional hydrological model,"Liao, Chang|Zhuang, Qianlai",ARCTIC ANTARCTIC AND ALPINE RESEARCH,
664,WOS:000424177400017,2018,Prioritizing actions for the recovery of endangered species: Emergent insights from Greater Sage-grouse simulation modeling,"Heinrichs, Julie A.|Aldridge, Cameron L.|Gummer, David L.|Monroe, Adrian P.|Schumaker, Nathan H.",BIOLOGICAL CONSERVATION,greater sage-grouse|canada|spatially explicit individual-based model|habitat restoration|population recovery|source-sink dynamics
665,WOS:000265515900017,2009,Environmental modelling in the Gulf of Cadiz: Heavy metal distributions in water and sediments,"Perianez, R.",SCIENCE OF THE TOTAL ENVIRONMENT,numerical modelling|hydrodynamics|sediment transport|heavy metals|gulf of cadiz
666,WOS:000290045003084,2009,Incorporating variable cover in erosion algorithms for grazing lands within catchment scale water quality models,"Searle, R. D.|Ellis, R. J.|Anderssen, RS|Braddock, RD|Newham, LTH",18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,water quality|remote sensing|usle|watercast|sediment generation
667,WOS:000328628400003,2013,Pedometrics Research in the Vadose Zone-Review and Perspectives,"Minasny, Budiman|Whelan, Brett M.|Triantafilis, John|McBratney, Alex. B.",VADOSE ZONE JOURNAL,
668,WOS:A1993MC28100006,1993,LONG-TERM IMPACTS OF FOREST TREATMENTS ON WATER YIELD - A SUMMARY FOR NORTHEASTERN USA,"HORNBECK, JW|ADAMS, MB|CORBETT, ES|VERRY, ES|LYNCH, JA",JOURNAL OF HYDROLOGY,
669,WOS:000424397400009,2018,"Models, Simulations and Games for Water Management: A Comparative Q-Method Study in The Netherlands and China","Zhou, Qiqi|Mayer, Igor Stefan",WATER,simulations|serious games|q-method|integrated water resources management|policy analysis
670,WOS:000286101300007,2011,Characterization factors for inland water eutrophication at the damage level in life cycle impact assessment,"Struijs, Jaap|Beusen, Arthur|de Zwart, Dick|Huijbregts, Mark",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,concentration total phosphorus in water|ecological damage|freshwater eutrophication|life cycle impact assessment|nutrient enrichment|site-generic fate modeling
671,WOS:000439061600002,2018,Integrated Hydrological and Geophysical Characterisation of Surface and Subsurface Water Contamination at Abandoned Metal Mines,"Hudson, Emily|Kulessa, Bernd|Edwards, Paul|Williams, Tom|Walsh, Rory",WATER AIR AND SOIL POLLUTION,flow gauging|geophysics|heavy metals|hydrological contamination|water quality
672,WOS:000379739600019,2016,Error distribution modelling of satellite soil moisture measurements for hydrological applications,"Zhuo, Lu|Dai, Qiang|Islam, Tanvir|Han, Dawei",HYDROLOGICAL PROCESSES,error distribution model|uncertainty modelling|satellite soil moisture|hydrological modelling|soil moisture and ocean salinity (smos)|xinanjiang (xaj)
673,WOS:000382957700001,2016,The cold rain-on-snow event of June 2013 in the Canadian Rockies characteristics and diagnosis,"Pomeroy, John W.|Fang, Xing|Marks, Danny G.",HYDROLOGICAL PROCESSES,rain-on-snow|flooding|snowmelt|flowpaths|cold regions hydrological model|canadian rockies
674,WOS:000425492800026,2018,Emission and fate modelling framework for engineered nanoparticles in urban aquatic systems at high spatial and temporal resolution,"Domercq, Prado|Praetorius, Antonia|Boxall, Alistair B. A.",ENVIRONMENTAL SCIENCE-NANO,
675,WOS:000174246000016,2002,Accounting for the spatial rainfall variability in urban modelling applications,"Willems, P|Berlamont, J",WATER SCIENCE AND TECHNOLOGY,hydrological modelling|idf curves|rain gauges|spatial rainfall|urban drainage
676,WOS:000235717600004,2006,"Trend, variability or extreme event? The importance of long-term perspectives in river ecology","Reid, MA|Ogden, RW",RIVER RESEARCH AND APPLICATIONS,freshwater ecology|palaeoecology|historical studies|ecological modelling|benchmarking
677,WOS:000369668400014,2016,Differences in the water-balance components of four lakes in the southern-central Tibetan Plateau,"Biskop, S.|Maussion, F.|Krause, P.|Fink, M.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
678,WOS:000246735800001,2007,Wavelet analysis of hydrological and water quality signals in an agricultural watershed,"Kang, Shujiang|Lin, Henry",JOURNAL OF HYDROLOGY,wavelet analysis|hydrology|water quality|temporal pattern|non-point source
679,WOS:000324013300014,2013,A tool for mapping and spatio-temporal analysis of hydrological data,"Guzman, J. A.|Moriasi, D. N.|Chu, M. L.|Starks, P. J.|Steiner, J. L.|Gowda, P. H.",ENVIRONMENTAL MODELLING & SOFTWARE,integrated environmental modeling|spatio-temporal analysis|hydrological modeling|data visualization|geospatial software|gis
680,WOS:000249668300015,2007,Causal cross-impact analysis as strategic planning aid for virtual organisation breeding environments,"Duin, Heiko|CamarinhaMatos, LM|Afsarmanesh, H|Novais, P|Analide, C",ESTABLISHING THE FOUNDATION OF COLLABORATIVE NETWORKS,
681,WOS:000251188100029,2007,An integrated economic-hydrologic modeling framework for the watershed evaluation of beneficial management practices,"Yang, W.|Rousseau, A. N.|Boxall, R.",JOURNAL OF SOIL AND WATER CONSERVATION,agricultural conservation programs|beneficial management practices|cost effectiveness|integrated economic|hydrologic modeling|watershed evaluation
682,WOS:000177183100009,2002,Climatic and anthropogenic impacts on the flow regime of the Nakambe River in Burkina Faso,"Mahe, G|Dray, A|Paturel, JE|Cres, A|Kone, F|Manga, M|Cres, FN|Djoukam, J|Maiga, A|Ouedraogo, M|Conway, D|Servat, E|VanLanen, HAJ|Demuth, S",FRIEND 2002-REGIONAL HYDROLOGY: BRIDGING THE GAP BETWEEN RESEARCH AND PRACTICE,land use|soil water holding capacity|hydrological modelling|sahel|burkina faso
683,WOS:000428780300034,2018,Land use change modeling and the effect of compact city paradigms: integration of GIS-based cellular automata and weights-of-evidence techniques,"Abdullahi, Saleh|Pradhan, Biswajeet",ENVIRONMENTAL EARTH SCIENCES,compact city|land use change modeling|remote sensing|cellular automata|gis
684,WOS:000300251600003,2012,Towards an integrated arid zone water management using simulation-based optimisation,"Grundmann, Jens|Schuetze, Niels|Schmitz, Gerd H.|Al-Shaqsi, Saif",ENVIRONMENTAL EARTH SCIENCES,integrated water resources management|multi-criteria optimisation|density dependent groundwater flow modelling|irrigation|artificial intelligence
685,WOS:A1995RH11700011,1995,"DELINEATING HYDROLOGICAL RESPONSE UNITS BY GEOGRAPHICAL INFORMATION-SYSTEM ANALYSES FOR REGIONAL HYDROLOGICAL MODELING USING PRMS/MMS IN THE DRAINAGE-BASIN OF THE RIVER BROL, GERMANY","FLUGEL, WA",HYDROLOGICAL PROCESSES,hydrological response units|gis analysis|prms/mms hydrological basin model|regionalization|regional modeling|scaling
686,WOS:000395177100001,2017,"MSWEP: 3-hourly 0.25 degrees global gridded precipitation (1979-2015) by merging gauge, satellite, and reanalysis data","Beck, Hylke E.|van Dijk, Albert I. J. M.|Levizzani, Vincenzo|Schellekens, Jaap|Miralles, Diego G.|Martens, Brecht|de Roo, Ad",HYDROLOGY AND EARTH SYSTEM SCIENCES,
687,WOS:000398758800031,2017,Detecting the quantitative hydrological response to changes in climate and human activities,"Wu, Jingwen|Miao, Chiyuan|Zhang, Xiaoming|Yang, Tiantian|Duan, Qingyun",SCIENCE OF THE TOTAL ENVIRONMENT,climate change|human activities|quantitative hydrological response|budyko|yanhe river basin|swat
688,WOS:000342302100086,2013,ECOLOGICAL MODELING OF EMERGENT VEGETATION FOR SUSTAINING WETLANDS IN HIGH WAVE ENERGY COASTAL ENVIRONMENTS,"Yoon, Hyun-Doug|Cox, Daniel|Albert, Dennis|Mori, Nobuhito|Smith, Heather|Zarnetske, Jay|Takahashi, S|Kobayashi, N|Shimosako, KI","COASTAL STRUCTURES 2011, VOL 1 & 2",
689,WOS:000254960900011,2008,Estimation of a critical spatial discretization limit for solving Richards' equation at large scales,"Vogel, H. -J.|Ippisch, O.",VADOSE ZONE JOURNAL,
690,WOS:000312717300002,2012,Modified Hargreaves-Samani Equation for the Assessment of Reference Evapotranspiration in Alpine River Basins,"Ravazzani, Giovanni|Corbari, Chiara|Morella, Stefano|Gianoli, Paride|Mancini, Marco",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,reference evapotranspiration|modified hargreaves-samani equation|alpine river basins
691,WOS:000272819300026,2009,Investigation into potential impacts of implementation of water sensitive urban design components,"Shrestha, S.|Samuel, A.|Ronaldson, P.|Riley, S. J.|Brebbia, CA|Popov, ",WATER RESOURCES MANAGEMENT V,water sensitive urban design (wsud)|hydrological modelling|run-off routing burroughs (rorb)
